type;n;algo;threshold;time_ms
random;39800;merge;0;1
random;39900;merge;0;1
random;40000;merge;0;1
random;40100;merge;0;1
random;40200;merge;0;1
random;40300;merge;0;1
random;40400;merge;0;1
random;40500;merge;0;1
random;40600;merge;0;1
random;40700;merge;0;1
random;40800;merge;0;1
random;40900;merge;0;1
random;41000;merge;0;1
random;41100;merge;0;1
random;41200;merge;0;1
random;41300;merge;0;1
random;41400;merge;0;1
random;41500;merge;0;1
random;41600;merge;0;1
random;41700;merge;0;1
random;41800;merge;0;1
random;41900;merge;0;1
random;42000;merge;0;1
random;42100;merge;0;1
random;42200;merge;0;1
random;42300;merge;0;1
random;42400;merge;0;1
random;42500;merge;0;1
random;42600;merge;0;1
random;42700;merge;0;1
random;42800;merge;0;1
random;42900;merge;0;1
random;43000;merge;0;1
random;43100;merge;0;1
random;43200;merge;0;1
random;43300;merge;0;1
random;43400;merge;0;1
random;43500;merge;0;1
random;43600;merge;0;1
random;43700;merge;0;1
random;43800;merge;0;1
random;43900;merge;0;1
random;44000;merge;0;1
random;44100;merge;0;1
random;44200;merge;0;1
random;44300;merge;0;1
random;44400;merge;0;1
random;44500;merge;0;1
random;44600;merge;0;1
random;44700;merge;0;1
random;44800;merge;0;1
random;44900;merge;0;1
random;45000;merge;0;1
random;45100;merge;0;1
random;45200;merge;0;1
random;45300;merge;0;1
random;45400;merge;0;1
random;45500;merge;0;1
random;45600;merge;0;1
random;45700;merge;0;1
random;45800;merge;0;1
random;45900;merge;0;1
random;46000;merge;0;1
random;46100;merge;0;1
random;46200;merge;0;1
random;46300;merge;0;1
random;46400;merge;0;1
random;46500;merge;0;1
random;46600;merge;0;1
random;46700;merge;0;1
random;46800;merge;0;1
random;46900;merge;0;1
random;47000;merge;0;1
random;47100;merge;0;1
random;47200;merge;0;1
random;47300;merge;0;1
random;47400;merge;0;1
random;47500;merge;0;1
random;47600;merge;0;1
random;47700;merge;0;1
random;47800;merge;0;1
random;47900;merge;0;1
random;48000;merge;0;1
random;48100;merge;0;1
random;48200;merge;0;1
random;48300;merge;0;1
random;48400;merge;0;1
random;48500;merge;0;1
random;48600;merge;0;1
random;48700;merge;0;1
random;48800;merge;0;1
random;48900;merge;0;1
random;49000;merge;0;1
random;49100;merge;0;1
random;49200;merge;0;1
random;49300;merge;0;1
random;49400;merge;0;1
random;49500;merge;0;1
random;49600;merge;0;1
random;49700;merge;0;1
random;49800;merge;0;1
random;49900;merge;0;1
random;50000;merge;0;1
random;50100;merge;0;2
random;50200;merge;0;2
random;50300;merge;0;2
random;50400;merge;0;2
random;50500;merge;0;2
random;50600;merge;0;2
random;50700;merge;0;2
random;50800;merge;0;2
random;50900;merge;0;2
random;51000;merge;0;2
random;51100;merge;0;2
random;51200;merge;0;2
random;51300;merge;0;2
random;51400;merge;0;2
random;51500;merge;0;2
random;51600;merge;0;2
random;51700;merge;0;2
random;51800;merge;0;2
random;51900;merge;0;2
random;52000;merge;0;2
random;52100;merge;0;2
random;52200;merge;0;2
random;52300;merge;0;2
random;52400;merge;0;2
random;52500;merge;0;2
random;52600;merge;0;2
random;52700;merge;0;2
random;52800;merge;0;2
random;52900;merge;0;2
random;53000;merge;0;2
random;53100;merge;0;2
random;53200;merge;0;2
random;53300;merge;0;2
random;53400;merge;0;2
random;53500;merge;0;2
random;53600;merge;0;2
random;53700;merge;0;2
random;53800;merge;0;2
random;53900;merge;0;2
random;54000;merge;0;2
random;54100;merge;0;2
random;54200;merge;0;2
random;54300;merge;0;2
random;54400;merge;0;2
random;54500;merge;0;2
random;54600;merge;0;2
random;54700;merge;0;2
random;54800;merge;0;2
random;54900;merge;0;2
random;55000;merge;0;2
random;55100;merge;0;2
random;55200;merge;0;2
random;55300;merge;0;2
random;55400;merge;0;2
random;55500;merge;0;2
random;55600;merge;0;2
random;55700;merge;0;2
random;55800;merge;0;2
random;55900;merge;0;2
random;56000;merge;0;2
random;56100;merge;0;2
random;56200;merge;0;2
random;56300;merge;0;2
random;56400;merge;0;2
random;56500;merge;0;2
random;56600;merge;0;2
